"","atm_id","horario","Total_fallas","score","riesgo_fallo"
"1","10","Mañana",2,0.0134228187919463,"Bajo"
"2","10","Tarde",4,0.0268456375838926,"Bajo"
"3","100","Mañana",1,0.00671140939597315,"Muy bajo"
"4","100","Noche",1,0.00671140939597315,"Muy bajo"
"5","100","Tarde",1,0.00671140939597315,"Muy bajo"
"6","1001","Madrugada",1,0.00671140939597315,"Muy bajo"
"7","1001","Mañana",2,0.0134228187919463,"Bajo"
"8","1001","Tarde",3,0.0201342281879195,"Bajo"
"9","1002","Mañana",1,0.00671140939597315,"Muy bajo"
"10","1002","Noche",1,0.00671140939597315,"Muy bajo"
"11","1002","Tarde",1,0.00671140939597315,"Muy bajo"
"12","1004","Mañana",3,0.0201342281879195,"Bajo"
"13","1004","Tarde",2,0.0134228187919463,"Bajo"
"14","1005","Madrugada",1,0.00671140939597315,"Muy bajo"
"15","1005","Tarde",1,0.00671140939597315,"Muy bajo"
"16","1007","Mañana",2,0.0134228187919463,"Bajo"
"17","1007","Noche",1,0.00671140939597315,"Muy bajo"
"18","1007","Tarde",3,0.0201342281879195,"Bajo"
"19","101","Tarde",2,0.0134228187919463,"Bajo"
"20","1010","Mañana",4,0.0268456375838926,"Bajo"
"21","1011","Madrugada",3,0.0201342281879195,"Bajo"
"22","1011","Mañana",2,0.0134228187919463,"Bajo"
"23","1011","Noche",6,0.0402684563758389,"Bajo"
"24","1013","Madrugada",1,0.00671140939597315,"Muy bajo"
"25","1014","Madrugada",5,0.0335570469798658,"Bajo"
"26","1014","Mañana",2,0.0134228187919463,"Bajo"
"27","1014","Noche",2,0.0134228187919463,"Bajo"
"28","1014","Tarde",1,0.00671140939597315,"Muy bajo"
"29","1015","Madrugada",3,0.0201342281879195,"Bajo"
"30","1015","Mañana",2,0.0134228187919463,"Bajo"
"31","1015","Noche",2,0.0134228187919463,"Bajo"
"32","1016","Mañana",1,0.00671140939597315,"Muy bajo"
"33","1017","Madrugada",2,0.0134228187919463,"Bajo"
"34","1017","Mañana",4,0.0268456375838926,"Bajo"
"35","1017","Noche",1,0.00671140939597315,"Muy bajo"
"36","1018","Madrugada",3,0.0201342281879195,"Bajo"
"37","1018","Mañana",2,0.0134228187919463,"Bajo"
"38","1018","Noche",1,0.00671140939597315,"Muy bajo"
"39","1018","Tarde",3,0.0201342281879195,"Bajo"
"40","102","Mañana",2,0.0134228187919463,"Bajo"
"41","102","Noche",1,0.00671140939597315,"Muy bajo"
"42","102","Tarde",3,0.0201342281879195,"Bajo"
"43","1020","Madrugada",2,0.0134228187919463,"Bajo"
"44","1020","Tarde",1,0.00671140939597315,"Muy bajo"
"45","1021","Madrugada",4,0.0268456375838926,"Bajo"
"46","1021","Mañana",8,0.0536912751677852,"Moderado"
"47","1021","Noche",2,0.0134228187919463,"Bajo"
"48","1022","Tarde",3,0.0201342281879195,"Bajo"
"49","1024","Mañana",4,0.0268456375838926,"Bajo"
"50","1024","Noche",2,0.0134228187919463,"Bajo"
"51","1024","Tarde",1,0.00671140939597315,"Muy bajo"
"52","1025","Madrugada",1,0.00671140939597315,"Muy bajo"
"53","1025","Mañana",3,0.0201342281879195,"Bajo"
"54","1025","Noche",2,0.0134228187919463,"Bajo"
"55","1025","Tarde",3,0.0201342281879195,"Bajo"
"56","1026","Mañana",2,0.0134228187919463,"Bajo"
"57","1026","Noche",2,0.0134228187919463,"Bajo"
"58","1026","Tarde",4,0.0268456375838926,"Bajo"
"59","1027","Tarde",1,0.00671140939597315,"Muy bajo"
"60","1028","Tarde",1,0.00671140939597315,"Muy bajo"
"61","1029","Madrugada",1,0.00671140939597315,"Muy bajo"
"62","1029","Noche",2,0.0134228187919463,"Bajo"
"63","1030","Madrugada",1,0.00671140939597315,"Muy bajo"
"64","1030","Mañana",1,0.00671140939597315,"Muy bajo"
"65","1030","Tarde",1,0.00671140939597315,"Muy bajo"
"66","1031","Madrugada",2,0.0134228187919463,"Bajo"
"67","1031","Mañana",2,0.0134228187919463,"Bajo"
"68","1031","Noche",2,0.0134228187919463,"Bajo"
"69","1031","Tarde",1,0.00671140939597315,"Muy bajo"
"70","1032","Madrugada",3,0.0201342281879195,"Bajo"
"71","1032","Noche",1,0.00671140939597315,"Muy bajo"
"72","1032","Tarde",2,0.0134228187919463,"Bajo"
"73","1033","Madrugada",2,0.0134228187919463,"Bajo"
"74","1033","Mañana",2,0.0134228187919463,"Bajo"
"75","1033","Noche",2,0.0134228187919463,"Bajo"
"76","1033","Tarde",2,0.0134228187919463,"Bajo"
"77","1034","Madrugada",11,0.0738255033557047,"Moderado"
"78","1034","Mañana",1,0.00671140939597315,"Muy bajo"
"79","1034","Noche",5,0.0335570469798658,"Bajo"
"80","1034","Tarde",1,0.00671140939597315,"Muy bajo"
"81","1036","Mañana",1,0.00671140939597315,"Muy bajo"
"82","1036","Tarde",2,0.0134228187919463,"Bajo"
"83","1037","Mañana",1,0.00671140939597315,"Muy bajo"
"84","1037","Tarde",2,0.0134228187919463,"Bajo"
"85","1038","Madrugada",3,0.0201342281879195,"Bajo"
"86","1038","Noche",1,0.00671140939597315,"Muy bajo"
"87","1038","Tarde",2,0.0134228187919463,"Bajo"
"88","1039","Madrugada",2,0.0134228187919463,"Bajo"
"89","1039","Noche",2,0.0134228187919463,"Bajo"
"90","104","Madrugada",4,0.0268456375838926,"Bajo"
"91","104","Noche",2,0.0134228187919463,"Bajo"
"92","104","Tarde",2,0.0134228187919463,"Bajo"
"93","1040","Madrugada",1,0.00671140939597315,"Muy bajo"
"94","1040","Mañana",1,0.00671140939597315,"Muy bajo"
"95","1040","Noche",1,0.00671140939597315,"Muy bajo"
"96","1040","Tarde",6,0.0402684563758389,"Bajo"
"97","1041","Madrugada",1,0.00671140939597315,"Muy bajo"
"98","1041","Mañana",2,0.0134228187919463,"Bajo"
"99","1041","Noche",2,0.0134228187919463,"Bajo"
"100","1041","Tarde",3,0.0201342281879195,"Bajo"
"101","1042","Madrugada",2,0.0134228187919463,"Bajo"
"102","1042","Mañana",4,0.0268456375838926,"Bajo"
"103","1042","Noche",6,0.0402684563758389,"Bajo"
"104","1042","Tarde",6,0.0402684563758389,"Bajo"
"105","1043","Madrugada",2,0.0134228187919463,"Bajo"
"106","1043","Mañana",1,0.00671140939597315,"Muy bajo"
"107","1043","Noche",2,0.0134228187919463,"Bajo"
"108","1044","Madrugada",5,0.0335570469798658,"Bajo"
"109","1044","Mañana",3,0.0201342281879195,"Bajo"
"110","1044","Noche",2,0.0134228187919463,"Bajo"
"111","1044","Tarde",2,0.0134228187919463,"Bajo"
"112","1045","Mañana",1,0.00671140939597315,"Muy bajo"
"113","1045","Tarde",2,0.0134228187919463,"Bajo"
